ID_FISCALIZACAO_ELETRONICA;DESC_LOC_CONTROLADOR_TRANSITO;DESC_TIPO_CONTROLADOR_TRANSITO;VELOCIDADE_REGULAMENTAR;SENTIDO;SENTIDO_FISCALIZADO;NUM_SERIE_ATUAL;COD_SECUNDARIA;GEOMETRIA;;
404;Av. Afonso Pena esquina com Av. Carandaí;Detector de Parada sobre Faixa de Pedestres;60;Mangabeiras-PraÃ§a Rio Branco;único;1726;;POINT (611608.49 7796237.89);;
405;Av. Amazonas, 5253;Detector de Avanço de Semáforo;60;Bairro-Centro;único;1027;;POINT (606894.12 7795949.61);;
406;Av. Amazonas, 5253;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;único;1027;;POINT (606900.84 7795951.40);;
407;Av. Amazonas, oposto ao 5253;Detector de Avanço de Semáforo;60;Centro-Bairro;único;1028;;POINT (606902.40 7795967.29);;
408;Av. Amazonas, oposto ao 5253;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;único;1028;;POINT (606896.81 7795965.72);;
409;Av. Cristiano Machado, 2150;Detector de Avanço de Semáforo;60;Centro-Bairro;único;1029;;POINT (612098.87 7800475.63);;
410;Av. Cristiano Machado, 2150;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;único;1029;;POINT (612098.21 7800481.92);;
411;Av. Cristiano Machado, 2273;Detector de Avanço de Semáforo;60;Bairro-Centro;único;1030;;POINT (612063.94 7800496.32);;
412;Av. Cristiano Machado, 2273;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;único;1030;;POINT (612065.10 7800488.21);;
413;Av. Cristiano Machado esquina com R. Felipe de Melo;Detector de Avanço de Semáforo;60;Centro-Bairro;único;1065;;POINT (612128.04 7801654.19);;
414;Av. Cristiano Machado esquina com R. Felipe de Melo;Detector de Parada sobre Faixa de Pedestres;60;Centro-Bairro;único;1065;;POINT (612129.64 7801661.29);;
415;Av. Cristiano Machado esquina com R. Jacuí;Detector de Avanço de Semáforo;60;Bairro-Centro;único;1039;;POINT (612114.94 7801720.32);;
416;Av. Cristiano Machado esquina com R. Jacuí;Detector de Parada sobre Faixa de Pedestres;60;Bairro-Centro;único;1039;;POINT (612112.00 7801712.36);;
417;Av. Cristiano Machado, oposto 4001;Detector de Avanço de Semáforo;60;Centro-Bairro;único;1140;;POINT (612186.00 7801853.09);;
266;Av. Cristiano Machado, 4001;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8965;;POINT (612145.76 7801846.01);;
267;Av. Cristiano Machado, 4001;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8966;;POINT (612151.33 7801845.46);;
268;Av. Cristiano Machado, oposto ao 4001;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8963;;POINT (612163.44 7801788.10);;
269;Av. Dom Pedro I, 2062;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8976;;POINT (608879.01 7807189.44);;
270;Av. Dom Pedro I, 2177;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8970;;POINT (608999.83 7807299.93);;
271;Av. Dom Pedro I, 2177;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8977;;POINT (609003.43 7807296.07);;
272;Av. Presidente Antônio Carlos, 561;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;2200005;GCT005;POINT (610577.11 7798452.38);;
273;Av. Presidente Antônio Carlos, 6484;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;2200004;GCT004;POINT (609205.67 7803074.00);;
274;Av. Presidente Antônio Carlos, 6627;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;2200003;GCT003;POINT (609057.32 7803395.67);;
275;Av. Presidente Antônio Carlos, 7400;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;2200002;GCT002;POINT (608928.95 7803870.83);;
276;Av. Presidente Antônio Carlos, 7719;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;2200001;GCT001;POINT (608766.66 7804232.23);;
277;Av. Presidente Carlos Luz entre Praça Pedro Mello e Anel Rodoviário;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;2200013;GCT013;POINT (607220.71 7801366.34);;
278;Av. Presidente Carlos Luz, 4585;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;2200009;GCT009;POINT (607121.75 7802325.96);;
279;Av. Presidente Carlos Luz, oposto ao 3514;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;2200011;GCT011;POINT (607539.07 7800968.03);;
280;Av. Presidente Carlos Luz, oposto ao 4269;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;2200010;GCT010;POINT (607120.28 7802240.27);;
281;Av. Raja Gabaglia, 2226;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8973;;POINT (609027.45 7793043.57);;
282;Av. Raja Gabaglia, 2271;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;8972;;POINT (609068.75 7793007.91);;
283;Av. Teresa Cristina, 6776;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8967;;POINT (605343.03 7792918.86);;
284;Av. Teresa Cristina, 6776;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8978;;POINT (605346.69 7792911.72);;
285;Av. Teresa Cristina, 9793;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;2200008;GCT008;POINT (605415.51 7792921.81);;
241;Av. Nossa Senhora do Carmo, 1900;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;2411;;POINT (610926.63 7793194.16);;
242;Av. Nossa Senhora do Carmo, 1925;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;3262;;POINT (610916.55 7793146.20);;
243;Av. Presidente Juscelino Kubtischek, 4333;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;2430;;POINT (606484.90 7796605.86);;
